signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
S3_z126,T1_p75,P2,5,0.9075,10.57,-18.92,14.86,1566,True
S3_z126,T1_p75,P3,5,-0.0611,-1.24,-43.56,44.85,1566,False
S3_z126,T2_rp25,P1,5,0.5107,3.47,-11.81,27.41,1566,False
S3_z126,T2_rp25,P2,5,0.9075,10.57,-18.92,14.86,1566,True
S3_z126,T2_rp25,P3,5,-0.4295,-8.75,-63.14,54.81,1566,False
S3_z126,T2_rp50,P1,5,0.9061,9.66,-21.69,31.07,1566,False
S3_z126,T2_rp50,P2,5,0.9075,10.57,-18.92,14.86,1566,True
S3_z126,T2_rp50,P3,5,0.178,3.63,-40.68,62.14,1566,False
S3_z126,T2_rp75,P1,5,0.7942,10.78,-25.6,23.34,1566,True
S3_z126,T2_rp75,P2,5,0.9075,10.57,-18.92,14.86,1566,True
S3_z126,T2_rp75,P3,5,0.2886,5.88,-34.4,46.68,1566,False
S3_z126,T1_p25,P1,21,0.4515,3.21,-11.44,28.37,1566,False
S3_z126,T1_p25,P2,21,0.6346,7.74,-18.68,14.85,1566,True
S3_z126,T1_p25,P3,21,-0.4552,-9.27,-64.85,56.75,1566,False
S3_z126,T1_p50,P1,21,0.773,8.09,-19.77,32.8,1566,False
