signal,threshold,strategy,signal_column,lead_days,oos_sharpe,max_drawdown,valid,lead_source
S5_roc21,T2_rp50,P2,vix_ratio_roc_21d,5,0.9262,-17.79,True,pipeline
S5_roc21,T2_rp75,P2,vix_ratio_roc_21d,5,0.9262,-17.79,True,pipeline
S5_roc21,T1_p25,P2,vix_ratio_roc_21d,21,0.7262,-16.48,True,pipeline
S5_roc21,T1_p50,P2,vix_ratio_roc_21d,21,0.7262,-16.48,True,pipeline
S5_roc21,T1_p75,P2,vix_ratio_roc_21d,21,0.7262,-16.48,True,pipeline
S5_roc21,T2_rp25,P2,vix_ratio_roc_21d,21,0.7262,-16.48,True,pipeline
S5_roc21,T2_rp50,P2,vix_ratio_roc_21d,21,0.7262,-16.48,True,pipeline
S5_roc21,T2_rp75,P2,vix_ratio_roc_21d,21,0.7262,-16.48,True,pipeline
S5_roc21,T1_p25,P2,vix_ratio_roc_21d,63,0.842,-19.9,True,pipeline
S5_roc21,T1_p50,P2,vix_ratio_roc_21d,63,0.842,-19.9,True,pipeline
S5_roc21,T1_p75,P2,vix_ratio_roc_21d,63,0.842,-19.9,True,pipeline
S5_roc21,T2_rp25,P2,vix_ratio_roc_21d,63,0.842,-19.9,True,pipeline
S5_roc21,T2_rp50,P2,vix_ratio_roc_21d,63,0.842,-19.9,True,pipeline
S5_roc21,T2_rp75,P2,vix_ratio_roc_21d,63,0.842,-19.9,True,pipeline
S5_roc21,T1_p25,P2,vix_ratio_roc_21d,126,0.5032,-26.58,True,pipeline
S5_roc21,T1_p50,P2,vix_ratio_roc_21d,126,0.5032,-26.58,True,pipeline
S5_roc21,T1_p75,P2,vix_ratio_roc_21d,126,0.5032,-26.58,True,pipeline
S5_roc21,T2_rp25,P2,vix_ratio_roc_21d,126,0.5032,-26.58,True,pipeline
S5_roc21,T2_rp50,P2,vix_ratio_roc_21d,126,0.5032,-26.58,True,pipeline
S5_roc21,T2_rp75,P2,vix_ratio_roc_21d,126,0.5032,-26.58,True,pipeline
S5_roc21,T1_p25,P2,vix_ratio_roc_21d,252,0.7982,-20.72,True,pipeline
S5_roc21,T1_p50,P2,vix_ratio_roc_21d,252,0.7982,-20.72,True,pipeline
S5_roc21,T1_p75,P2,vix_ratio_roc_21d,252,0.7982,-20.72,True,pipeline
S5_roc21,T2_rp25,P2,vix_ratio_roc_21d,252,0.7982,-20.72,True,pipeline
S5_roc21,T2_rp50,P2,vix_ratio_roc_21d,252,0.7982,-20.72,True,pipeline
S5_roc21,T2_rp75,P2,vix_ratio_roc_21d,252,0.7982,-20.72,True,pipeline
S6_mom5,T1_p25,P2,vix_ratio_mom_5d,0,0.6392,-25.34,True,pipeline
S6_mom5,T1_p50,P2,vix_ratio_mom_5d,0,0.6392,-25.34,True,pipeline
S6_mom5,T1_p75,P2,vix_ratio_mom_5d,0,0.6392,-25.34,True,pipeline
S6_mom5,T2_rp25,P2,vix_ratio_mom_5d,0,0.6392,-25.34,True,pipeline
S6_mom5,T2_rp50,P2,vix_ratio_mom_5d,0,0.6392,-25.34,True,pipeline
S6_mom5,T2_rp75,P2,vix_ratio_mom_5d,0,0.6392,-25.34,True,pipeline
S6_mom5,T1_p25,P2,vix_ratio_mom_5d,1,0.6778,-21.93,True,pipeline
S6_mom5,T1_p50,P2,vix_ratio_mom_5d,1,0.6778,-21.93,True,pipeline
S6_mom5,T1_p75,P2,vix_ratio_mom_5d,1,0.6778,-21.93,True,pipeline
S6_mom5,T2_rp25,P2,vix_ratio_mom_5d,1,0.6778,-21.93,True,pipeline
S6_mom5,T2_rp50,P2,vix_ratio_mom_5d,1,0.6778,-21.93,True,pipeline
S6_mom5,T2_rp75,P2,vix_ratio_mom_5d,1,0.6778,-21.93,True,pipeline
S6_mom5,T1_p25,P2,vix_ratio_mom_5d,5,0.7722,-20.15,True,pipeline
S6_mom5,T1_p50,P2,vix_ratio_mom_5d,5,0.7722,-20.15,True,pipeline
S6_mom5,T1_p75,P2,vix_ratio_mom_5d,5,0.7722,-20.15,True,pipeline
S6_mom5,T2_rp25,P2,vix_ratio_mom_5d,5,0.7722,-20.15,True,pipeline
S6_mom5,T2_rp50,P2,vix_ratio_mom_5d,5,0.7722,-20.15,True,pipeline
S6_mom5,T2_rp75,P2,vix_ratio_mom_5d,5,0.7722,-20.15,True,pipeline
S6_mom5,T1_p25,P2,vix_ratio_mom_5d,21,0.5906,-20.05,True,pipeline
S6_mom5,T1_p50,P2,vix_ratio_mom_5d,21,0.5906,-20.05,True,pipeline
S6_mom5,T1_p75,P2,vix_ratio_mom_5d,21,0.5906,-20.05,True,pipeline
S6_mom5,T2_rp25,P2,vix_ratio_mom_5d,21,0.5906,-20.05,True,pipeline
S6_mom5,T2_rp50,P2,vix_ratio_mom_5d,21,0.5906,-20.05,True,pipeline
