signal,threshold,threshold_value,strategy,lead_days,oos_sharpe,oos_ann_return,oos_max_drawdown,annual_turnover,oos_n,valid
gold_copper_roc_126d,T1_p25,-9.8165,P2_long_short,21,-0.2095,-0.0684,-0.5865,7.08,1566,False
gold_copper_roc_126d,T1_p25,-9.8165,P2_long_short,63,-0.3308,-0.0931,-0.6615,7.08,1566,False
gold_copper_roc_126d,T1_p25,-9.8165,P2_long_short,126,-0.5426,-0.1346,-0.7384,6.44,1566,False
gold_copper_roc_126d,T1_p25,-9.8165,P2_long_short,252,-0.651,-0.1551,-0.7746,6.44,1566,False
gold_copper_roc_126d,T2_p50,0.8514,P1_long_cash,0,0.8007,0.0758,-0.085,10.3,1566,True
gold_copper_roc_126d,T2_p50,0.8514,P1_long_cash,1,0.5072,0.0455,-0.1267,10.3,1566,True
gold_copper_roc_126d,T2_p50,0.8514,P1_long_cash,5,0.5481,0.0513,-0.1991,10.62,1566,True
gold_copper_roc_126d,T2_p50,0.8514,P1_long_cash,21,0.5078,0.0515,-0.2013,11.26,1566,True
gold_copper_roc_126d,T2_p50,0.8514,P1_long_cash,63,0.6646,0.0731,-0.1961,11.26,1566,True
gold_copper_roc_126d,T2_p50,0.8514,P1_long_cash,126,0.2293,0.0174,-0.1146,11.1,1566,True
gold_copper_roc_126d,T2_p50,0.8514,P1_long_cash,252,0.0124,-0.0066,-0.2867,11.26,1566,True
gold_copper_roc_126d,T2_p50,0.8514,P2_long_short,0,0.0478,-0.0138,-0.4346,20.6,1566,True
gold_copper_roc_126d,T2_p50,0.8514,P2_long_short,1,-0.2112,-0.0688,-0.5828,20.6,1566,False
gold_copper_roc_126d,T2_p50,0.8514,P2_long_short,5,-0.1574,-0.0576,-0.5472,21.24,1566,False
gold_copper_roc_126d,T2_p50,0.8514,P2_long_short,21,-0.1465,-0.0553,-0.5952,22.53,1566,False
gold_copper_roc_126d,T2_p50,0.8514,P2_long_short,63,0.0419,-0.0149,-0.5671,22.53,1566,True
gold_copper_roc_126d,T2_p50,0.8514,P2_long_short,126,-0.4595,-0.1186,-0.7172,22.21,1566,False
gold_copper_roc_126d,T2_p50,0.8514,P2_long_short,252,-0.6414,-0.1532,-0.7413,22.53,1566,False
gold_copper_roc_126d,T3_p75,11.28,P1_long_cash,0,0.516,0.0711,-0.2337,9.49,1566,True
gold_copper_roc_126d,T3_p75,11.28,P1_long_cash,1,0.3527,0.0437,-0.2043,9.49,1566,True
gold_copper_roc_126d,T3_p75,11.28,P1_long_cash,5,0.2175,0.0222,-0.3151,9.49,1566,True
gold_copper_roc_126d,T3_p75,11.28,P1_long_cash,21,0.2552,0.0308,-0.4233,9.49,1566,True
gold_copper_roc_126d,T3_p75,11.28,P1_long_cash,63,0.3785,0.0563,-0.4099,8.85,1566,True
gold_copper_roc_126d,T3_p75,11.28,P1_long_cash,126,0.7238,0.1,-0.2164,9.33,1566,True
gold_copper_roc_126d,T3_p75,11.28,P1_long_cash,252,0.2885,0.0388,-0.4233,7.72,1566,True
gold_copper_roc_126d,T3_p75,11.28,P2_long_short,0,0.078,-0.0075,-0.4495,18.99,1566,True
gold_copper_roc_126d,T3_p75,11.28,P2_long_short,1,-0.1577,-0.0579,-0.4673,18.99,1566,False
gold_copper_roc_126d,T3_p75,11.28,P2_long_short,5,-0.3396,-0.095,-0.5132,18.99,1566,False
gold_copper_roc_126d,T3_p75,11.28,P2_long_short,21,-0.2187,-0.0704,-0.5406,18.99,1566,False
gold_copper_roc_126d,T3_p75,11.28,P2_long_short,63,0.0118,-0.0217,-0.5573,17.7,1566,True
gold_copper_roc_126d,T3_p75,11.28,P2_long_short,126,0.3033,0.0435,-0.3471,18.67,1566,True
gold_copper_roc_126d,T3_p75,11.28,P2_long_short,252,-0.121,-0.0501,-0.5305,15.45,1566,False
BENCHMARK,BUY_HOLD,0.0,BH,0,0.6558,0.1281,-0.4233,0.0,1566,False
