signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
spread_roc_21d,T1_p25,P1,1,0.5485,5.68,-18.41,24.85,2088,False
spread_roc_21d,T1_p25,P2,1,1.1886,13.42,-12.78,14.15,2088,True
spread_roc_21d,T1_p25,P3,1,-0.1777,-3.4,-50.96,49.7,2088,False
spread_roc_21d,T1_p50,P1,1,0.8221,10.04,-16.62,34.06,2088,False
spread_roc_21d,T1_p50,P2,1,1.1886,13.42,-12.78,14.15,2088,True
spread_roc_21d,T1_p50,P3,1,0.2787,5.33,-31.01,68.13,2088,False
spread_roc_21d,T1_p75,P1,1,0.9651,13.83,-19.18,26.08,2088,False
spread_roc_21d,T1_p75,P2,1,1.1886,13.42,-12.78,14.15,2088,True
spread_roc_21d,T1_p75,P3,1,0.6756,12.9,-23.72,52.17,2088,False
spread_roc_21d,T2_rp25,P1,1,0.4385,3.9,-19.86,24.26,2088,False
spread_roc_21d,T2_rp25,P2,1,1.1886,13.42,-12.78,14.15,2088,True
spread_roc_21d,T2_rp25,P3,1,-0.3636,-6.95,-63.3,48.53,2088,False
spread_roc_21d,T2_rp50,P1,1,0.6272,7.29,-16.62,32.54,2088,False
spread_roc_21d,T2_rp50,P2,1,1.1886,13.42,-12.78,14.15,2088,True
spread_roc_21d,T2_rp50,P3,1,-0.0094,-0.18,-42.72,65.08,2088,False
spread_roc_21d,T2_rp75,P1,1,1.0376,14.99,-19.18,27.14,2088,False
spread_roc_21d,T2_rp75,P2,1,1.1886,13.42,-12.78,14.15,2088,True
spread_roc_21d,T2_rp75,P3,1,0.798,15.24,-23.72,54.28,2088,False
spread_roc_21d,T1_p25,P1,5,0.2633,2.82,-20.4,24.79,2088,False
spread_roc_21d,T1_p25,P2,5,0.9628,11.22,-16.51,14.15,2088,True
spread_roc_21d,T1_p25,P3,5,-0.4769,-9.11,-70.37,49.58,2088,False
spread_roc_21d,T1_p50,P1,5,0.2324,2.97,-20.43,34.06,2088,False
spread_roc_21d,T1_p50,P2,5,0.9628,11.22,-16.51,14.15,2088,True
spread_roc_21d,T1_p50,P3,5,-0.4612,-8.81,-63.98,68.13,2088,False
spread_roc_21d,T1_p75,P1,5,0.8333,12.23,-22.12,26.14,2088,False
spread_roc_21d,T1_p75,P2,5,0.9628,11.22,-16.51,14.15,2088,True
spread_roc_21d,T1_p75,P3,5,0.5079,9.7,-24.91,52.28,2088,False
spread_roc_21d,T2_rp25,P1,5,0.2838,2.65,-20.4,24.26,2088,False
spread_roc_21d,T2_rp25,P2,5,0.9628,11.22,-16.51,14.15,2088,True
spread_roc_21d,T2_rp25,P3,5,-0.4946,-9.45,-71.47,48.53,2088,False
