trade_id,entry_date,exit_date,direction,qty_pct,notional_usd,price_entry,holding_days,trade_return_pct,signal_code,threshold_code,strategy_code
162,2012-01-20,2012-01-23,Long,80.91,8091.36,102.78,3,-0.21,S6_hmm_stress,T4_hmm_0.5,P2
163,2012-01-23,2012-03-06,Long,95.81,9581.06,102.51,43,2.41,S6_hmm_stress,T4_hmm_0.5,P2
164,2012-03-06,2012-03-07,Long,89.05,8905.33,104.96,1,0.62,S6_hmm_stress,T4_hmm_0.5,P2
165,2012-03-07,2012-05-11,Long,95.19,9519.36,105.69,65,0.35,S6_hmm_stress,T4_hmm_0.5,P2
166,2012-05-11,2012-05-14,Long,75.03,7503.44,106.09,3,-0.83,S6_hmm_stress,T4_hmm_0.5,P2
167,2012-05-14,2012-05-15,Long,30.7,3070.23,104.92,1,-0.18,S6_hmm_stress,T4_hmm_0.5,P2
168,2012-05-15,2012-05-16,Long,11.61,1161.35,104.32,1,-0.04,S6_hmm_stress,T4_hmm_0.5,P2
169,2012-05-16,2012-06-14,Long,2.96,295.93,103.92,29,-0.04,S6_hmm_stress,T4_hmm_0.5,P2
170,2012-06-14,2012-06-15,Long,9.27,927.28,104.42,1,0.09,S6_hmm_stress,T4_hmm_0.5,P2
171,2012-06-15,2012-06-18,Long,37.16,3716.18,105.49,3,0.07,S6_hmm_stress,T4_hmm_0.5,P2
172,2012-06-18,2012-06-19,Long,65.86,6585.58,105.69,1,0.64,S6_hmm_stress,T4_hmm_0.5,P2
173,2012-06-19,2012-06-20,Long,71.09,7108.86,106.71,1,-0.12,S6_hmm_stress,T4_hmm_0.5,P2
174,2012-06-20,2012-06-21,Long,86.87,8686.95,106.54,1,-1.95,S6_hmm_stress,T4_hmm_0.5,P2
175,2012-06-21,2013-06-19,Long,95.01,9500.93,104.15,363,25.45,S6_hmm_stress,T4_hmm_0.5,P2
176,2013-06-19,2013-06-20,Long,91.26,9125.61,130.72,1,-2.26,S6_hmm_stress,T4_hmm_0.5,P2
177,2013-06-20,2013-06-25,Long,71.16,7115.53,127.48,5,-0.0,S6_hmm_stress,T4_hmm_0.5,P2
178,2013-06-25,2014-07-30,Long,95.73,9572.81,127.48,400,26.61,S6_hmm_stress,T4_hmm_0.5,P2
179,2014-07-30,2014-07-31,Long,93.19,9318.81,161.48,1,-1.84,S6_hmm_stress,T4_hmm_0.5,P2
180,2014-07-31,2014-08-01,Cash,0.0,0.0,158.29,1,0.0,S6_hmm_stress,T4_hmm_0.5,P2
181,2014-08-01,2014-08-04,Long,6.92,691.93,157.8,3,0.05,S6_hmm_stress,T4_hmm_0.5,P2
182,2014-08-04,2014-10-09,Long,94.92,9492.5,158.94,66,0.02,S6_hmm_stress,T4_hmm_0.5,P2
183,2014-10-09,2014-10-10,Long,60.74,6074.19,158.74,1,-0.69,S6_hmm_stress,T4_hmm_0.5,P2
184,2014-10-10,2014-10-20,Cash,0.0,0.0,156.93,10,0.0,S6_hmm_stress,T4_hmm_0.5,P2
185,2014-10-20,2014-10-22,Long,28.65,2864.98,156.73,2,0.33,S6_hmm_stress,T4_hmm_0.5,P2
186,2014-10-22,2014-10-23,Long,87.78,8778.1,158.7,1,1.02,S6_hmm_stress,T4_hmm_0.5,P2
187,2014-10-23,2014-12-08,Long,98.49,9849.49,160.54,46,5.98,S6_hmm_stress,T4_hmm_0.5,P2
188,2014-12-08,2014-12-09,Long,93.69,9369.15,170.16,1,-0.06,S6_hmm_stress,T4_hmm_0.5,P2
189,2014-12-09,2014-12-10,Long,48.91,4890.68,170.05,1,-0.78,S6_hmm_stress,T4_hmm_0.5,P2
190,2014-12-10,2014-12-11,Long,33.97,3396.64,167.32,1,0.17,S6_hmm_stress,T4_hmm_0.5,P2
191,2014-12-11,2014-12-12,Long,23.4,2339.96,168.17,1,-0.38,S6_hmm_stress,T4_hmm_0.5,P2
192,2014-12-12,2014-12-19,Long,0.36,35.68,165.45,7,-0.0,S6_hmm_stress,T4_hmm_0.5,P2
193,2014-12-19,2014-12-22,Long,89.63,8963.34,171.03,3,0.41,S6_hmm_stress,T4_hmm_0.5,P2
194,2014-12-22,2015-06-29,Long,99.29,9929.05,171.81,189,-0.11,S6_hmm_stress,T4_hmm_0.5,P2
195,2015-06-29,2015-06-30,Long,92.07,9207.33,171.71,1,0.19,S6_hmm_stress,T4_hmm_0.5,P2
196,2015-06-30,2015-08-20,Long,98.06,9805.97,172.07,51,-0.83,S6_hmm_stress,T4_hmm_0.5,P2
197,2015-08-20,2015-08-21,Long,71.54,7153.53,170.5,1,-2.15,S6_hmm_stress,T4_hmm_0.5,P2
198,2015-08-21,2015-10-08,Long,0.01,0.77,165.36,48,0.04,S6_hmm_stress,T4_hmm_0.5,P2
199,2015-10-08,2015-10-09,Long,76.17,7617.38,169.06,1,0.05,S6_hmm_stress,T4_hmm_0.5,P2
200,2015-10-09,2015-10-12,Long,87.65,8764.56,169.16,3,0.08,S6_hmm_stress,T4_hmm_0.5,P2
201,2015-10-12,2015-12-08,Long,98.93,9892.62,169.32,57,2.73,S6_hmm_stress,T4_hmm_0.5,P2
202,2015-12-08,2015-12-09,Long,90.86,9085.59,173.89,1,-0.71,S6_hmm_stress,T4_hmm_0.5,P2
203,2015-12-09,2015-12-10,Long,82.2,8219.69,172.53,1,0.21,S6_hmm_stress,T4_hmm_0.5,P2
204,2015-12-10,2015-12-11,Long,62.79,6278.74,172.98,1,-1.22,S6_hmm_stress,T4_hmm_0.5,P2
205,2015-12-11,2015-12-16,Long,0.0,0.0,169.63,5,0.0,S6_hmm_stress,T4_hmm_0.5,P2
206,2015-12-16,2015-12-17,Long,9.38,938.42,174.79,1,-0.14,S6_hmm_stress,T4_hmm_0.5,P2
207,2015-12-17,2015-12-21,Long,15.96,1595.62,172.13,4,-0.14,S6_hmm_stress,T4_hmm_0.5,P2
208,2015-12-21,2015-12-22,Long,81.94,8193.96,170.46,1,0.74,S6_hmm_stress,T4_hmm_0.5,P2
